market_id,resolution,resolution_binary,volume,category,closed_time,price_t0,price_t1d,price_t7d,price_t30d
252706,No,0,249.99991,,2023-10-23 11:31:45+00,0.025,0.025,,
252707,No,0,7797.665462,,2023-12-06 15:06:25+00,0.0045,0.0025,0.041,0.033
252708,No,0,3729.489904,,2023-12-06 15:06:05+00,0.0095,0.0025,0.06,0.04
252709,No,0,43418.809330000004,,2023-12-06 15:05:39+00,0.57,0.42,0.265,0.18
252710,No,0,2718.0620529999997,,2023-12-06 15:04:01+00,0.0095,0.0105,0.0375,0.075
252712,No,0,9889.397744,,2024-01-01 07:45:53+00,0.03,0.04,0.08,0.1
252713,No,0,1629.3297790000001,,2024-01-01 07:04:09+00,0.04,0.04,0.04,0.0355
252714,No,0,19429.562613000002,,2024-01-01 07:15:49+00,0.0445,0.0445,0.044,0.0205
252715,No,0,9011.392616,,2023-11-16 07:06:18+00,0.0075,0.0075,0.0265,
252716,Yes,1,42686.89008,,2024-01-01 20:32:09+00,0.92,0.915,0.6,0.67
252717,No,0,9594.323334,,2024-01-01 07:47:13+00,0.099,0.099,0.1645,0.026
252718,No,0,11435.279009,,2023-12-30 07:01:12+00,0.01,0.01,0.015,0.015
252719,No,0,20509.212682999998,,2024-01-17 18:15:22+00,0.21,0.25,0.505,0.095
252720,No,0,7006.724953000001,,2024-02-01 07:16:39+00,0.038,0.038,0.038,0.099
252722,Yes,1,1772.455911,,2024-03-11 23:30:19+00,0.5,0.5,0.5,0.325
252723,No,0,4327.58488,,2023-12-07 15:48:20+00,0.5575,0.53,0.52,0.965
252724,No,0,8565.052235,,2024-04-11 19:07:30+00,0.025,0.025,0.075,0.25
252725,Yes,1,18670.0,,2023-10-21 17:17:38+00,0.545,,,
252726,Yes,1,27180.484408,,2023-10-31 18:16:01+00,0.985,0.9705,0.89,
252727,Yes,1,0.0,,2024-03-11 23:16:43+00,0.5,0.5,0.5,0.5
252728,No,0,33556.800657,,2023-10-23 07:02:57+00,0.0195,0.12,,
252729,Yes,1,29458.058773,,2023-12-13 21:06:24+00,0.982,0.954,0.9735,0.935
252730,No,0,27152.23446,,2023-12-13 21:04:44+00,0.018,0.0225,0.025,0.065
252745,No,0,14209.765124000001,,2023-10-25 20:01:51+00,0.165,0.15,,
252746,Yes,1,65265.037588,,2023-10-25 20:16:40+00,0.275,0.075,,
252749,No,0,18751.529297,,2023-11-01 06:30:44+00,0.0095,0.0115,0.09,
252776,No,0,3896.1826260000003,,2024-01-01 07:32:57+00,0.005,0.125,0.025,0.03
252828,No,0,509.616499,,2024-01-01 07:32:41+00,0.5,0.5,0.495,0.065
252829,No,0,11742.056745,,2024-07-16 01:38:09+00,0.015,0.0055,0.03,0.035
252832,Yes,1,3324.798672,,2023-12-18 15:04:43+00,0.9905,0.9905,0.9795,0.9795
252836,Yes,1,1809553.5800319999,,2024-01-13 14:17:57+00,0.795,0.745,0.75,0.775
252838,No,0,4314.429934,,2024-08-07 07:53:43+00,0.0095,0.1945,0.195,0.075
252839,Yes,1,149262.70569099998,,2023-11-26 07:35:54+00,0.965,0.93,0.25,
252840,Yes,1,25414.934094,,2023-10-31 02:17:41+00,0.99,0.984,,
252841,No,0,62496.140296,,2023-12-01 07:17:44+00,0.012,0.0205,0.031,0.18
252842,No,0,15237.064498,,2023-12-01 07:03:46+00,0.01,0.01,0.014,0.085
252844,No,0,611011.068924,,2024-01-01 07:20:59+00,0.0065,0.0065,0.022,0.245
252845,No,0,51739.056293999995,,2023-11-14 01:17:42+00,0.0005,0.003,0.2,
252846,No,0,27747.376565000002,,2023-11-14 01:20:02+00,0.0005,0.0045,0.015,
252847,No,0,31817.22975,,2023-11-14 01:20:38+00,0.0005,0.002,0.055,
252848,No,0,2941.103266,,2023-11-05 20:32:05+00,0.27,0.37,,
252849,No,0,175.666665,,2023-11-05 01:31:59+00,0.0045,0.535,,
252882,Yes,1,28917.953117999998,,2023-11-07 17:16:45+00,0.9995,0.9985,0.915,
252883,Yes,1,20376.259702,,2023-11-07 17:16:57+00,0.994,0.93,0.49,
252884,No,0,12577.759177,,2023-11-07 17:17:07+00,0.002,0.003,0.04,
252919,Yes,1,270567.594029,,2024-03-20 16:37:56+00,0.9875,0.9875,0.982,0.935
252920,No,0,1413.0,,2023-12-01 07:04:22+00,0.0075,0.0075,0.0125,0.05
252921,No,0,8388.809349,,2024-01-08 07:15:47+00,0.0645,0.0645,0.05,0.09
252924,Yes,1,58539.524547,,2023-11-02 03:18:52+00,0.93,0.655,,
252925,No,0,1304.6650690000001,,2023-12-06 15:04:29+00,0.005,0.005,0.065,0.085
252928,Yes,1,3684.2446680000003,,2023-11-07 04:47:36+00,0.81,0.74,,
252929,No,0,14971.537686,,2023-11-16 07:18:18+00,0.0045,0.005,0.14,
252930,No,0,51563.13389,,2023-11-18 07:03:47+00,0.011,0.06,0.625,
252935,No,0,13420.56953,,2023-12-01 07:02:18+00,0.0205,0.0205,0.035,
252936,No,0,19994.017847000003,,2023-11-16 08:18:11+00,0.023,0.1,0.09,
252937,No,0,16517.427726,,2023-11-16 08:34:08+00,0.02,0.025,0.11,
252939,Yes,1,48766.328051000004,,2023-11-13 04:30:23+00,0.905,0.665,0.8,
252940,Yes,1,29963.945596999998,,2023-11-14 01:15:14+00,0.9995,0.974,0.505,
252941,No,0,36877.653323,,2023-11-11 01:46:48+00,0.0005,0.0165,0.725,
252942,No,0,96111.74410400001,,2023-11-11 00:02:00+00,0.0045,0.027,0.095,
252943,Yes,1,58261.275460000004,,2023-11-08 05:01:52+00,0.93,0.86,,
252945,No,0,34679.543151000005,,2023-11-08 09:32:08+00,0.2,0.205,,
252946,Yes,1,15345.246987,,2023-11-14 01:15:30+00,0.9995,0.997,0.705,
252947,Yes,1,7119.092855000001,,2023-11-09 05:47:02+00,0.375,0.415,,
252948,Yes,1,4581.776502000001,,2023-11-09 05:47:14+00,0.625,0.6,,
252950,Yes,1,58265.584072,,2023-11-09 05:47:26+00,0.23,0.39,,
252951,Yes,1,6501.217794,,2023-11-09 03:47:13+00,0.3,0.19,,
252952,Yes,1,5069.791922,,2023-11-09 03:47:05+00,0.685,0.635,,
252953,Yes,1,5877.937363,,2023-11-09 05:02:09+00,0.16,0.2,,
252958,Yes,1,8592.770187999999,,2023-11-09 03:47:23+00,0.12,0.09,,
252961,No,0,4696.549971,,2023-11-09 05:02:23+00,0.225,0.145,,
252998,No,0,277231.254511,,2024-01-01 07:01:45+00,0.11,0.0355,0.215,0.275
252999,No,0,34107.364609,,2023-11-18 07:00:55+00,0.01,0.016,0.06,
253028,No,0,18301.554090999998,,2024-01-01 07:16:53+00,0.0025,0.0025,0.12,0.044
253029,No,0,9873.458115,,2023-12-01 07:07:20+00,0.009,0.0095,0.03,
253030,No,0,6410.893856,,2023-12-01 07:06:40+00,0.0055,0.0105,0.0205,
253031,Yes,1,11748.59526,,2023-12-05 01:49:06+00,0.9905,0.989,0.615,
253032,No,0,11081.584740999999,,2023-12-01 07:04:06+00,0.0305,0.001,0.0175,
253033,No,0,19874.500760000003,,2024-01-01 07:30:41+00,0.005,0.006,0.0085,0.0355
253034,Yes,1,384569.349864,,2024-03-17 20:37:14+00,0.9945,0.9955,0.9835,0.969
253035,No,0,9576.951693,,2023-12-01 07:04:34+00,0.04,0.043,0.0475,
253036,No,0,48285.661395999996,,2023-11-16 02:46:35+00,0.0035,0.09,,
253037,Yes,1,52914.870888,,2023-11-24 07:30:51+00,0.955,0.9785,0.535,
253038,Yes,1,49348.05914,,2023-11-21 02:16:36+00,0.9995,0.9955,0.7,
253040,No,0,43359.284907,,2023-11-21 02:16:46+00,0.002,0.0045,0.375,
253041,Yes,1,16537.876578,,2023-11-18 17:46:52+00,0.78,0.61,,
253043,Yes,1,16238.13061,,2023-11-24 18:45:24+00,0.94,0.925,0.725,
253044,No,0,12214.254146,,2023-12-08 06:17:40+00,0.135,0.14,0.125,
253045,No,0,7366.559284000001,,2024-01-01 07:24:40+00,0.155,0.155,0.165,0.055
253046,Yes,1,1873.638347,,2023-11-21 02:17:00+00,0.455,0.525,,
253047,No,0,4166.616883,,2023-11-18 02:01:46+00,0.025,0.045,,
253100,No,0,9661.95299,,2023-11-21 02:18:04+00,0.0015,0.0335,,
253101,No,0,5666.282809,,2024-03-06 07:01:45+00,0.025,0.025,0.005,0.12
